Length	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
21	15810	148628	5306	7701	43397	6621	47562	88726	15347	50184	65575	16481	42849	13134	25645	36447	55971	63995	138841	499979	1198226	664907	283174	NA	285478	71859	102483.7	24542.8	63201.9
22	7915	153395	6375	5119	27652	6123	52500	124662	23121	66781	130029	20168	39683	13632	23899	49628	61550	55482	67350	303473	587045	653151	454374	NA	521322	156747	186946.8	103635.4	138322.7
23	6139	89704	6578	6494	20117	6743	44777	92991	29000	60123	118427	23529	39374	16732	29785	71774	84212	89011	53177	261470	300782	501477	309498	NA	455999	203674	206449.5	175899.6	236541.7
24	8377	28658	5164	5456	10296	4864	31865	56410	26969	52986	85149	25353	31785	15458	20362	67361	81986	80398	65248	260734	126712	314858	193667	NA	350489	151521	151608.1	188184.2	229437.8
25	8943	14222	3947	6808	12898	4429	24356	30123	29819	50534	64519	21326	21398	13066	15824	34947	57418	66252	46806	165444	97731	203720	122411	NA	221208	87514	106462.2	120878.4	200465.4
26	6602	13410	4120	8670	8517	4370	21375	23090	27515	40188	39693	19872	18032	10432	12713	32335	39981	49866	39922	120859	82802	152183	64144	NA	115600	64422	91853.9	99713.9	124483.6
27	4022	14699	4361	7830	17364	2890	21141	20596	25585	21851	33743	16470	17605	9397	10857	19109	26128	48823	34957	95155	49339	135137	32163	NA	95100	25728	52375.1	65106	89372.1
28	3776	8768	4240	8402	17495	2707	14031	18336	24801	17424	20396	10503	13962	12135	12471	11651	19087	37469	24861	72543	35075	76038	23430	NA	62113	16853	34502.9	33366	54050.6
29	2526	4855	3503	7625	16330	2678	8032	13397	16323	16387	14957	7230	7798	13950	12659	10147	13206	21724	24372	38007	30904	67575	16618	NA	44305	16202	29017.3	18777.5	23000.6
30	2110	3340	2765	6195	12717	2242	6138	7942	11346	12127	11093	5122	4910	12267	9865	7475	7643	18374	14245	26788	35523	46137	14071	NA	31552	12743	21133.6	12395.2	16565.1
31	1960	3229	1949	4553	16297	3409	4994	6250	7641	10199	9147	5109	3755	9066	7347	9531	6404	11854	10895	15934	17230	29841	8793	NA	35300	12982	18870	10961	13075.9
32	1314	2389	1901	2709	10628	2210	4035	5730	6315	7165	5261	4608	3523	6787	5214	7469	4180	6793	7953	14869	11668	28059	8562	NA	5061	13155	18091.4	6614.2	9005.2
33	1212	3299	1671	1603	7262	1220	2107	3878	5642	5026	4354	3862	3360	4636	4905	4870	3623	6389	6675	9280	4838	18841	5790	NA	8421	18683	15925.1	4790	5002.8
34	1117	1431	1286	916	3447	559	1673	4512	4545	3369	2776	2701	2182	2959	3942	2096	2183	5268	3627	5875	2164	7507	2538	NA	3360	15952	10825.6	3305.2	3562.5
35	1287	716	1044	610	1966	217	653	2048	3256	1303	1679	1451	1175	1760	2720	1118	1067	2385	2538	1885	1869	4530	2229	NA	1893	16454	7594	2117.1	3177
36	1184	595	800	297	1171	118	499	1080	1539	1092	675	560	506	1259	1456	537	416	970	2183	2310	1332	2698	1220	NA	1439	7863	8653.3	1024.8	3069.9
37	1005	385	460	211	335	64	308	426	339	499	636	325	182	765	1298	444	847	784	1772	1299	817	5530	653	NA	698	6419	5261.2	980.9	2708.1
38	1166	401	427	257	398	14	243	247	184	329	282	85	111	392	385	136	275	654	700	1374	138	5691	208	NA	323	4494	4009.5	446.9	2226.8
39	787	228	308	274	572	22	176	85	272	227	215	67	115	666	228	55	40	0	300	372	136	1938	257	NA	479	2031	1234.2	525.8	1548.2
40	662	93	237	119	75	22	164	17	67	151	180	136	0	308	60	116	17	391	250	389	0	954	375	NA	63	557	1376.5	217.1	710.5
41	221	124	155	0	20	22	191	40	82	67	81	0	0	76	85	61	103	0	129	208	0	1509	0	NA	62	53	553	43.8	207.6
42	135	77	132	15	24	0	45	0	0	67	0	17	0	232	60	0	0	263	505	195	0	630	0	NA	0	664	218.5	161.3	66.4
43	102	31	37	32	32	0	0	35	50	0	4	21	0	99	0	0	0	0	92	0	45	571	0	NA	0	664	255.9	161	130.2
44	128	46	99	0	0	42	0	17	50	4	0	17	0	0	0	0	0	0	0	0	0	525	0	NA	274	212	155.3	0	109.7
45	46	15	69	15	36	28	0	17	50	76	0	17	0	0	0	0	63	131	46	83	0	355	0	NA	0	71	23	35.2	11.4
46	24	46	0	0	12	14	0	0	0	18	17	0	0	0	0	16	0	0	0	0	0	216	0	NA	0	125	441.6	79.3	0
47	15	15	15	8	0	12	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	355	0	NA	0	0	58.4	19.4	0
48	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	62	0	0	0	77	0	NA	0	0	0	39.6	43.7
49	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	NA	0	53	223.8	35.2	0
50	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	NA	0	0	0	0	0
51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0
52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1022	0	0	0	NA	0	0	0	0	17.9
53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	NA	0	0	22.2	39.6	25.1
